cve_id,matched_keyword,published,cvss_score,cvss_vector,cvss_version,cvss_source,reference_count,sample_cpe,description,nvd_url,tier,package,installed_version,expected_vulnerable,source_advisory_url,notes
CVE-2015-7205,rtp,16-12-2015,10,AV:N/AC:L/Au:N/C:C/I:C/A:C,cvssMetricV2,nvd@nist.gov,44,cpe:2.3:o:fedoraproject:fedora:22:*:*:*:*:*:*:*,"Integer underflow in the RTPReceiverVideo::ParseRtpPacket function in Mozilla Firefox before 43.0 and Firefox ESR 38.x before 38.5 might allow remote attackers to obtain sensitive information, cause a denial of service, or possibly have unspecified o",https://nvd.nist.gov/vuln/detail/CVE-2015-7205,easy(suggested),,,,,
CVE-2014-5077,sctp,01-08-2014,7.1,AV:N/AC:M/Au:N/C:N/I:N/A:C,cvssMetricV2,nvd@nist.gov,44,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The sctp_assoc_update function in net/sctp/associola.c in the Linux kernel through 3.15.8, when SCTP authentication is enabled, allows remote attackers to cause a denial of service (NULL pointer dereference and OOPS) by starting to establish an assoc",https://nvd.nist.gov/vuln/detail/CVE-2014-5077,easy(suggested),,,,,
CVE-2014-3687,sctp,10-11-2014,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,44,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,The sctp_assoc_lookup_asconf_ack function in net/sctp/associola.c in the SCTP implementation in the Linux kernel through 3.17.2 allows remote attackers to cause a denial of service (panic) via duplicate ASCONF chunks that trigger an incorrect uncork ,https://nvd.nist.gov/vuln/detail/CVE-2014-3687,easy(suggested),,,,,
CVE-2018-1002105,kubernetes,05-12-2018,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cvssMetricV30,jordan@liggitt.net,40,cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*,"In all Kubernetes versions prior to v1.10.11, v1.11.5, and v1.12.3, incorrect handling of error responses to proxied upgrade requests in the kube-apiserver allowed specially crafted requests to establish a connection through the Kubernetes API server",https://nvd.nist.gov/vuln/detail/CVE-2018-1002105,easy(suggested),,,,,
CVE-2014-3673,sctp,10-11-2014,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,40,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The SCTP implementation in the Linux kernel through 3.17.2 allows remote attackers to cause a denial of service (system crash) via a malformed ASCONF chunk, related to net/sctp/sm_make_chunk.c and net/sctp/sm_statefuns.c.",https://nvd.nist.gov/vuln/detail/CVE-2014-3673,easy(suggested),,,,,
CVE-2014-4667,sctp,03-07-2014,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,cvssMetricV2,nvd@nist.gov,36,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*,"The sctp_association_free function in net/sctp/associola.c in the Linux kernel before 3.15.2 does not properly manage a certain backlog value, which allows remote attackers to cause a denial of service (socket outage) via a crafted SCTP packet.",https://nvd.nist.gov/vuln/detail/CVE-2014-4667,easy(suggested),,,,,
CVE-2016-1247,nginx,29-11-2016,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cvssMetricV31,nvd@nist.gov,30,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,"The nginx package before 1.6.2-5+deb8u3 on Debian jessie, the nginx packages before 1.4.6-1ubuntu3.6 on Ubuntu 14.04 LTS, before 1.10.0-0ubuntu0.16.04.3 on Ubuntu 16.04 LTS, and before 1.10.1-0ubuntu1.1 on Ubuntu 16.10, and the nginx ebuild before 1.",https://nvd.nist.gov/vuln/detail/CVE-2016-1247,easy(suggested),,,,,
CVE-2018-16845,nginx,07-11-2018,6.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:H,cvssMetricV31,nvd@nist.gov,28,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,"nginx before versions 1.15.6, 1.14.1 has a vulnerability in the ngx_http_mp4_module, which might allow an attacker to cause infinite loop in a worker process, cause a worker process crash, or might result in worker process memory disclosure by using ",https://nvd.nist.gov/vuln/detail/CVE-2018-16845,easy(suggested),,,,,
CVE-2014-6422,rtp,20-09-2014,5,AV:N/AC:L/Au:N/C:N/I:N/A:P,cvssMetricV2,nvd@nist.gov,28,cpe:2.3:a:wireshark:wireshark:1.10.0:*:*:*:*:*:*:*,"The SDP dissector in Wireshark 1.10.x before 1.10.10 creates duplicate hashtables for a media channel, which allows remote attackers to cause a denial of service (application crash) via a crafted packet to the RTP dissector.",https://nvd.nist.gov/vuln/detail/CVE-2014-6422,easy(suggested),,,,,
CVE-2018-16843,nginx,07-11-2018,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cvssMetricV31,nvd@nist.gov,24,cpe:2.3:a:f5:nginx:*:*:*:*:*:*:*:*,nginx before versions 1.15.6 and 1.14.1 has a vulnerability in the implementation of HTTP/2 that can allow for excessive memory consumption. This issue affects nginx compiled with the ngx_http_v2_module (not compiled by default) if the 'http2' option,https://nvd.nist.gov/vuln/detail/CVE-2018-16843,easy(suggested),,,,,
